"","best_model_60","second_model_60","third_model_60","best_model_90","second_model_90","third_model_90","best_model_120","second_model_120","third_model_120"
"1","0.0322171879057174","0.0331000751866897","0.0333861129391134","0.0302555308575049","0.0306735078034368","0.0306735078034368","0.0290858676046659","0.0290858676046659","0.0304269880950576"
"2","0.0293494347993911","0.0296314000634332","0.0315612308725834","0.030611514102408","0.0339235335721817","0.0342441354100906","0.0339492786563659","0.034963387589895","0.03507753177472"
"3","0.03809859563612","0.0394768795035246","0.0413003453486315","0.0394768795035246","0.0411450169713603","0.0414916669414964","0.0394768795035246","0.0411920606913164","0.0423084883059644"
"4","0.0483952817251364","0.0487816562255022","0.0498252071514552","0.0481090431382214","0.0483952817251364","0.0510289694135021","0.0483952817251364","0.0512563273052948","0.0526463308487743"
"5","0.0525340772568145","0.0530656763033728","0.054909578483833","0.0490332179542673","0.0530656763033728","0.0538269626289448","0.0522352682800238","0.0530656763033728","0.055132658952248"
"6","0.053119253371337","0.0553703046488383","0.056822723095657","0.0485794390787207","0.0519727981921674","0.0532897689960937","0.0526980879366515","0.0535475181645231","0.0540167409548939"
"7","0.0614091629166568","0.0633326837351924","0.0649963841845739","0.0617041817536158","0.0627066231861966","0.0629187030654809","0.062539236413667","0.0625522142082153","0.0631768857708554"
"8","0.0632768042762364","0.0662577966051587","0.0680220481679687","0.0644804434409092","0.0645713129410187","0.0645912304939118","0.0640288102189727","0.0652250965372671","0.065847662842096"
"9","0.0683309412245972","0.0712556836047036","0.0714601900599517","0.0679741119097234","0.0684086495050375","0.0695224808001631","0.0685916846438942","0.0702842082453501","0.070768149728748"
"10","0.0740509090080365","0.0757693044626068","0.0761057364670148","0.0693458443205075","0.0743215036751481","0.0754144364582364","0.0733599124128436","0.0745369531697245","0.0756379689137511"
"11","0.0752831749458983","0.075495062569922","0.0767419639479477","0.0688792843739095","0.0756566987880811","0.0765810326644125","0.0736460192009832","0.0757845605736173","0.0778496146503033"
"12","0.0747874395308664","0.0768551769453348","0.0786574882654574","0.0685016942092114","0.0815156281794644","0.0823062036800696","0.0725787096053391","0.0795645683007484","0.0814860769864395"
