"","best_model_60","second_model_60","third_model_60","best_model_90","second_model_90","third_model_90","best_model_120","second_model_120","third_model_120"
"1","0.0929846011606049","0.0934930292748858","0.0934930292748858","0.089250911935265","0.0914903972320248","0.0914903972320248","0.0903818949339397","0.0928007500313098","0.0928007500313098"
"2","0.107290081730173","0.108226857354004","0.108327732913674","0.107915771714794","0.111761060624917","0.111777373643939","0.107096338176356","0.110409619171509","0.110428172822838"
"3","0.106056086238223","0.116222077294067","0.117962649929858","0.106307675979858","0.119295485037659","0.125609611467386","0.104584520638769","0.117429761254288","0.117662271000935"
"4","0.107644875564855","0.117170578851572","0.11897692168306","0.107890244179416","0.120678228456112","0.131453998475905","0.105593429415955","0.11654952554112","0.118279832716414"
"5","0.109070353339919","0.117744267206152","0.127025811845998","0.109491521272222","0.124540664688542","0.131525352345412","0.10683640512811","0.119032690728243","0.120422060358182"
"6","0.108778372898928","0.112904886027065","0.125297220397562","0.109254921597681","0.121749935219352","0.128785653296904","0.106081918916994","0.116744893144151","0.119048108335174"
"7","0.108290060389053","0.108343928477057","0.114433735115291","0.107814426143791","0.117658950715758","0.125571976486544","0.104857567974416","0.111972190943096","0.114164913149084"
"8","0.107905301523792","0.108036771047843","0.118616952146562","0.106881242553217","0.118422737469099","0.122372610379933","0.104157240927385","0.108113917990302","0.115009506003845"
"9","0.104538140606878","0.107066705542178","0.107112404393098","0.105868521527311","0.114628081530791","0.115204475177725","0.103124023918955","0.111721334219894","0.112722113263032"
"10","0.0985918719591094","0.105122734078116","0.107804686607954","0.10319058021363","0.117878961836184","0.120115392680933","0.100726609838488","0.113499640706828","0.115428554418571"
"11","0.105596968370985","0.105625583012644","0.117421238490739","0.10279740623405","0.113273324122612","0.126270909257519","0.100671127193547","0.109914385598766","0.120323813652241"
"12","0.104668910606618","0.112120867311572","0.113947897480219","0.102220670805054","0.112147997819736","0.119398246914767","0.100092467813407","0.108356930267949","0.117463978811796"
